Infinitive,всели́ть
Zaliznyak Class,4b // 4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вселённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,всели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вселю́
2nd Sing,всели́шь
3rd Sing,всели́т
1st Pl,всели́м
2nd Pl,всели́те
3rd Pl,вселя́т
Past M,всели́л
Past F,всели́ла
Past N,всели́ло
Past PL,всели́ли
Imp S,всели́
Imp PL,всели́те
