Infinitive,вспорхну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вспорхну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспорхну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вспорхну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вспорхну́
2nd Sing,вспорхнёшь
3rd Sing,вспорхнёт
1st Pl,вспорхнём
2nd Pl,вспорхнёте
3rd Pl,вспорхну́т
Past M,вспорхну́л
Past F,вспорхну́ла
Past N,вспорхну́ло
Past PL,вспорхну́ли
Imp S,вспорхни́
Imp PL,вспорхни́те
