Infinitive,вскри́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вскри́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вскри́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вскри́кивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вскри́кивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вскри́кивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вскри́киваю
2nd Sing,вскри́киваешь
3rd Sing,вскри́кивает
1st Pl,вскри́киваем
2nd Pl,вскри́киваете
3rd Pl,вскри́кивают
Past M,вскри́кивал
Past F,вскри́кивала
Past N,вскри́кивало
Past PL,вскри́кивали
Imp S,вскри́кивай
Imp PL,вскри́кивайте
