Infinitive,всхли́пнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всхли́пнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всхли́пнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всхли́пнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,всхли́пнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,всхли́пну
2nd Sing,всхли́пнешь
3rd Sing,всхли́пнет
1st Pl,всхли́пнем
2nd Pl,всхли́пнете
3rd Pl,всхли́пнут
Past M,всхли́пнул
Past F,всхли́пнула
Past N,всхли́пнуло
Past PL,всхли́пнули
Imp S,всхли́пни
Imp PL,всхли́пните
