Infinitive,встря́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,встря́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,встря́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,встря́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,встря́ну
2nd Sing,встря́нешь
3rd Sing,встря́нет
1st Pl,встря́нем
2nd Pl,встря́нете
3rd Pl,встря́нут
Past M,встря́л
Past F,встря́ла
Past N,встря́ло
Past PL,встря́ли
Imp S,встря́нь
Imp PL,встря́ньте
