Infinitive,вскипа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вскипа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вскипа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вскипа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вскипа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вскипа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вскипа́ю
2nd Sing,вскипа́ешь
3rd Sing,вскипа́ет
1st Pl,вскипа́ем
2nd Pl,вскипа́ете
3rd Pl,вскипа́ют
Past M,вскипа́л
Past F,вскипа́ла
Past N,вскипа́ло
Past PL,вскипа́ли
Imp S,вскипа́й
Imp PL,вскипа́йте
