Infinitive,вскорми́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вскорми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вско́рмленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вскорми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вскорми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вскормлю́
2nd Sing,вско́рмишь
3rd Sing,вско́рмит
1st Pl,вско́рмим
2nd Pl,вско́рмите
3rd Pl,вско́рмят
Past M,вскорми́л
Past F,вскорми́ла
Past N,вскорми́ло
Past PL,вскорми́ли
Imp S,вскорми́
Imp PL,вскорми́те
