Infinitive,вспа́рхивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вспа́рхивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспа́рхивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вспа́рхивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вспа́рхивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вспа́рхивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вспа́рхиваю
2nd Sing,вспа́рхиваешь
3rd Sing,вспа́рхивает
1st Pl,вспа́рхиваем
2nd Pl,вспа́рхиваете
3rd Pl,вспа́рхивают
Past M,вспа́рхивал
Past F,вспа́рхивала
Past N,вспа́рхивало
Past PL,вспа́рхивали
Imp S,вспа́рхивай
Imp PL,вспа́рхивайте
