Infinitive,всплакну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,всплакну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всплакну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,всплакну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,всплакну́
2nd Sing,всплакнёшь
3rd Sing,всплакнёт
1st Pl,всплакнём
2nd Pl,всплакнёте
3rd Pl,всплакну́т
Past M,всплакну́л
Past F,всплакну́ла
Past N,всплакну́ло
Past PL,всплакну́ли
Imp S,всплакни́
Imp PL,всплакни́те
