Infinitive,встро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,встро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,встро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,встро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,встро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,встро́ю
2nd Sing,встро́ишь
3rd Sing,встро́ит
1st Pl,встро́им
2nd Pl,встро́ите
3rd Pl,встро́ят
Past M,встро́ил
Past F,встро́ила
Past N,встро́ило
Past PL,встро́или
Imp S,встро́й
Imp PL,встро́йте
