Infinitive,встрепену́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,встрепену́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,встрепену́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,встрепену́сь
2nd Sing,встрепенёшься
3rd Sing,встрепенётся
1st Pl,встрепенёмся
2nd Pl,встрепенётесь
3rd Pl,встрепену́тся
Past M,встрепену́лся
Past F,встрепену́лась
Past N,встрепену́лось
Past PL,встрепену́лись
Imp S,встрепени́сь
Imp PL,встрепени́тесь
