Infinitive,всплыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,всплыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,всплыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всплыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,всплыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,всплыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,всплыва́ю
2nd Sing,всплыва́ешь
3rd Sing,всплыва́ет
1st Pl,всплыва́ем
2nd Pl,всплыва́ете
3rd Pl,всплыва́ют
Past M,всплыва́л
Past F,всплыва́ла
Past N,всплыва́ло
Past PL,всплыва́ли
Imp S,всплыва́й
Imp PL,всплыва́йте
