Infinitive,всоса́ть
Zaliznyak Class,6°b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всоса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всо́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всоса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,всоса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,всосу́
2nd Sing,всосёшь
3rd Sing,всосёт
1st Pl,всосём
2nd Pl,всосёте
3rd Pl,всосу́т
Past M,всоса́л
Past F,всоса́ла
Past N,всоса́ло
Past PL,всоса́ли
Imp S,всоси́
Imp PL,всоси́те
