Infinitive,встава́ть
Zaliznyak Class,13b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,встаю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,встава́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,встава́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,встава́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,встава́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,встаю́
2nd Sing,встаёшь
3rd Sing,встаёт
1st Pl,встаём
2nd Pl,встаёте
3rd Pl,встаю́т
Past M,встава́л
Past F,встава́ла
Past N,встава́ло
Past PL,встава́ли
Imp S,встава́й
Imp PL,встава́йте
