Infinitive,вскочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вскочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вскочи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вскочи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вскочу́
2nd Sing,вско́чишь
3rd Sing,вско́чит
1st Pl,вско́чим
2nd Pl,вско́чите
3rd Pl,вско́чат
Past M,вскочи́л
Past F,вскочи́ла
Past N,вскочи́ло
Past PL,вскочи́ли
Imp S,вскочи́
Imp PL,вскочи́те
