Infinitive,всполоши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всполоши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всполошённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всполоши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,всполоши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,всполошу́
2nd Sing,всполоши́шь
3rd Sing,всполоши́т
1st Pl,всполоши́м
2nd Pl,всполоши́те
3rd Pl,всполоша́т
Past M,всполоши́л
Past F,всполоши́ла
Past N,всполоши́ло
Past PL,всполоши́ли
Imp S,всполоши́
Imp PL,всполоши́те
