Infinitive,вставля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вставля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вставля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вставля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вставля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вставля́юсь
2nd Sing,вставля́ешься
3rd Sing,вставля́ется
1st Pl,вставля́емся
2nd Pl,вставля́етесь
3rd Pl,вставля́ются
Past M,вставля́лся
Past F,вставля́лась
Past N,вставля́лось
Past PL,вставля́лись
Imp S,вставля́йся
Imp PL,вставля́йтесь
