Infinitive,вспуха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вспуха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспуха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вспуха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вспуха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вспуха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вспуха́ю
2nd Sing,вспуха́ешь
3rd Sing,вспуха́ет
1st Pl,вспуха́ем
2nd Pl,вспуха́ете
3rd Pl,вспуха́ют
Past M,вспуха́л
Past F,вспуха́ла
Past N,вспуха́ло
Past PL,вспуха́ли
Imp S,вспуха́й
Imp PL,вспуха́йте
