Infinitive,вста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вста́влю
2nd Sing,вста́вишь
3rd Sing,вста́вит
1st Pl,вста́вим
2nd Pl,вста́вите
3rd Pl,вста́вят
Past M,вста́вил
Past F,вста́вила
Past N,вста́вило
Past PL,вста́вили
Imp S,вста́вь
Imp PL,вста́вьте
