Infinitive,вскры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вскры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вскры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вскры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вскры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вскро́ю
2nd Sing,вскро́ешь
3rd Sing,вскро́ет
1st Pl,вскро́ем
2nd Pl,вскро́ете
3rd Pl,вскро́ют
Past M,вскры́л
Past F,вскры́ла
Past N,вскры́ло
Past PL,вскры́ли
Imp S,вскро́й
Imp PL,вскро́йте
