Infinitive,вслу́шаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вслу́шавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вслу́шавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вслу́шаюсь
2nd Sing,вслу́шаешься
3rd Sing,вслу́шается
1st Pl,вслу́шаемся
2nd Pl,вслу́шаетесь
3rd Pl,вслу́шаются
Past M,вслу́шался
Past F,вслу́шалась
Past N,вслу́шалось
Past PL,вслу́шались
Imp S,вслу́шайся
Imp PL,вслу́шайтесь
