Infinitive,вспо́мниться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вспо́мнившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспо́мнившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вспо́мнюсь
2nd Sing,вспо́мнишься
3rd Sing,вспо́мнится
1st Pl,вспо́мнимся
2nd Pl,вспо́мнитесь
3rd Pl,вспо́мнятся
Past M,вспо́мнился
Past F,вспо́мнилась
Past N,вспо́мнилось
Past PL,вспо́мнились
Imp S,вспо́мнись
Imp PL,вспо́мнитесь
