Infinitive,всы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,всы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,всы́плю
2nd Sing,всы́плешь
3rd Sing,всы́плет
1st Pl,всы́плем
2nd Pl,всы́плете
3rd Pl,всы́плют
Past M,всы́пал
Past F,всы́пала
Past N,всы́пало
Past PL,всы́пали
Imp S,всы́пь
Imp PL,всы́пьте
