Infinitive,всколыхну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всколыхну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всколы́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всколыхну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,всколыхну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,всколыхну́
2nd Sing,всколыхнёшь
3rd Sing,всколыхнёт
1st Pl,всколыхнём
2nd Pl,всколыхнёте
3rd Pl,всколыхну́т
Past M,всколыхну́л
Past F,всколыхну́ла
Past N,всколыхну́ло
Past PL,всколыхну́ли
Imp S,всколыхни́
Imp PL,всколыхни́те
