Infinitive,вспо́мнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вспо́мнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспо́мненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вспо́мнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вспо́мнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вспо́мню
2nd Sing,вспо́мнишь
3rd Sing,вспо́мнит
1st Pl,вспо́мним
2nd Pl,вспо́мните
3rd Pl,вспо́мнят
Past M,вспо́мнил
Past F,вспо́мнила
Past N,вспо́мнило
Past PL,вспо́мнили
Imp S,вспо́мни
Imp PL,вспо́мните
