Infinitive,вскрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вскрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вскрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вскрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вскрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вскрыва́юсь
2nd Sing,вскрыва́ешься
3rd Sing,вскрыва́ется
1st Pl,вскрыва́емся
2nd Pl,вскрыва́етесь
3rd Pl,вскрыва́ются
Past M,вскрыва́лся
Past F,вскрыва́лась
Past N,вскрыва́лось
Past PL,вскрыва́лись
Imp S,вскрыва́йся
Imp PL,вскрыва́йтесь
