Infinitive,всади́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вса́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,всади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,всажу́
2nd Sing,вса́дишь
3rd Sing,вса́дит
1st Pl,вса́дим
2nd Pl,вса́дите
3rd Pl,вса́дят
Past M,всади́л
Past F,всади́ла
Past N,всади́ло
Past PL,всади́ли
Imp S,всади́
Imp PL,всади́те
