Infinitive,вспыли́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вспыли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспыли́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вспыли́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вспылю́
2nd Sing,вспыли́шь
3rd Sing,вспыли́т
1st Pl,вспыли́м
2nd Pl,вспыли́те
3rd Pl,вспыля́т
Past M,вспыли́л
Past F,вспыли́ла
Past N,вспыли́ло
Past PL,вспыли́ли
Imp S,вспыли́
Imp PL,вспыли́те
