Infinitive,всели́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,всели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вселю́сь
2nd Sing,всели́шься
3rd Sing,всели́тся
1st Pl,всели́мся
2nd Pl,всели́тесь
3rd Pl,вселя́тся
Past M,всели́лся
Past F,всели́лась
Past N,всели́лось
Past PL,всели́лись
Imp S,всели́сь
Imp PL,всели́тесь
