Infinitive,встреча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,встреча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,встреча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,встреча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,встреча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,встреча́юсь
2nd Sing,встреча́ешься
3rd Sing,встреча́ется
1st Pl,встреча́емся
2nd Pl,встреча́етесь
3rd Pl,встреча́ются
Past M,встреча́лся
Past F,встреча́лась
Past N,встреча́лось
Past PL,встреча́лись
Imp S,встреча́йся
Imp PL,встреча́йтесь
