Infinitive,всхли́пывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всхли́пывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,всхли́пывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всхли́пываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,всхли́пывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,всхли́пывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,всхли́пывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,всхли́пываю
2nd Sing,всхли́пываешь
3rd Sing,всхли́пывает
1st Pl,всхли́пываем
2nd Pl,всхли́пываете
3rd Pl,всхли́пывают
Past M,всхли́пывал
Past F,всхли́пывала
Past N,всхли́пывало
Past PL,всхли́пывали
Imp S,всхли́пывай
Imp PL,всхли́пывайте
