Infinitive,вски́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вски́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вски́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вски́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вски́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вски́дываюсь
2nd Sing,вски́дываешься
3rd Sing,вски́дывается
1st Pl,вски́дываемся
2nd Pl,вски́дываетесь
3rd Pl,вски́дываются
Past M,вски́дывался
Past F,вски́дывалась
Past N,вски́дывалось
Past PL,вски́дывались
Imp S,вски́дывайся
Imp PL,вски́дывайтесь
