Infinitive,всплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,всплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всплы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,всплы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,всплыву́
2nd Sing,всплывёшь
3rd Sing,всплывёт
1st Pl,всплывём
2nd Pl,всплывёте
3rd Pl,всплыву́т
Past M,всплы́л
Past F,всплыла́
Past N,всплы́ло
Past PL,всплы́ли
Imp S,всплыви́
Imp PL,всплыви́те
