Infinitive,вскара́бкаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вскара́бкавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вскара́бкавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вскара́бкаюсь
2nd Sing,вскара́бкаешься
3rd Sing,вскара́бкается
1st Pl,вскара́бкаемся
2nd Pl,вскара́бкаетесь
3rd Pl,вскара́бкаются
Past M,вскара́бкался
Past F,вскара́бкалась
Past N,вскара́бкалось
Past PL,вскара́бкались
Imp S,вскара́бкайся
Imp PL,вскара́бкайтесь
