Infinitive,встряхну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,встряхну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,встряхну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,встряхну́сь
2nd Sing,встряхнёшься
3rd Sing,встряхнётся
1st Pl,встряхнёмся
2nd Pl,встряхнётесь
3rd Pl,встряхну́тся
Past M,встряхну́лся
Past F,встряхну́лась
Past N,встряхну́лось
Past PL,встряхну́лись
Imp S,встряхни́сь
Imp PL,встряхни́тесь
