Infinitive,встре́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,встре́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,встре́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,встре́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,встре́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,встре́чу
2nd Sing,встре́тишь
3rd Sing,встре́тит
1st Pl,встре́тим
2nd Pl,встре́тите
3rd Pl,встре́тят
Past M,встре́тил
Past F,встре́тила
Past N,встре́тило
Past PL,встре́тили
Imp S,встре́ть
Imp PL,встре́тьте
