Infinitive,вспаха́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вспаха́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспа́ханный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вспаха́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вспаха́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вспашу́
2nd Sing,вспа́шешь
3rd Sing,вспа́шет
1st Pl,вспа́шем
2nd Pl,вспа́шете
3rd Pl,вспа́шут
Past M,вспаха́л
Past F,вспаха́ла
Past N,вспаха́ло
Past PL,вспаха́ли
Imp S,вспаши́
Imp PL,вспаши́те
