Infinitive,вски́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вски́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вски́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вски́нусь
2nd Sing,вски́нешься
3rd Sing,вски́нется
1st Pl,вски́немся
2nd Pl,вски́нетесь
3rd Pl,вски́нутся
Past M,вски́нулся
Past F,вски́нулась
Past N,вски́нулось
Past PL,вски́нулись
Imp S,вски́нься
Imp PL,вски́ньтесь
