Infinitive,вспугну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вспугну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вспу́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вспугну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вспугну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вспугну́
2nd Sing,вспугнёшь
3rd Sing,вспугнёт
1st Pl,вспугнём
2nd Pl,вспугнёте
3rd Pl,вспугну́т
Past M,вспугну́л
Past F,вспугну́ла
Past N,вспугну́ло
Past PL,вспугну́ли
Imp S,вспугни́
Imp PL,вспугни́те
