Infinitive,встряхну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,встряхну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,встря́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,встряхну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,встряхну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,встряхну́
2nd Sing,встряхнёшь
3rd Sing,встряхнёт
1st Pl,встряхнём
2nd Pl,встряхнёте
3rd Pl,встряхну́т
Past M,встряхну́л
Past F,встряхну́ла
Past N,встряхну́ло
Past PL,встряхну́ли
Imp S,встряхни́
Imp PL,встряхни́те
