Infinitive,встре́титься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,встре́тившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,встре́тившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,встре́чусь
2nd Sing,встре́тишься
3rd Sing,встре́тится
1st Pl,встре́тимся
2nd Pl,встре́титесь
3rd Pl,встре́тятся
Past M,встре́тился
Past F,встре́тилась
Past N,встре́тилось
Past PL,встре́тились
Imp S,встре́ться
Imp PL,встре́тьтесь
