Infinitive,всплесну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всплесну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всплёснутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всплесну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,всплесну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,всплесну́
2nd Sing,всплеснёшь
3rd Sing,всплеснёт
1st Pl,всплеснём
2nd Pl,всплеснёте
3rd Pl,всплесну́т
Past M,всплесну́л
Past F,всплесну́ла
Past N,всплесну́ло
Past PL,всплесну́ли
Imp S,всплесни́
Imp PL,всплесни́те
