Infinitive,вступи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вступи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вступи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вступи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вступлю́
2nd Sing,всту́пишь
3rd Sing,всту́пит
1st Pl,всту́пим
2nd Pl,всту́пите
3rd Pl,всту́пят
Past M,вступи́л
Past F,вступи́ла
Past N,вступи́ло
Past PL,вступи́ли
Imp S,вступи́
Imp PL,вступи́те
