Infinitive,всучи́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,всучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,всу́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,всучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,всучу́
2nd Sing,всу́чишь
3rd Sing,всу́чит
1st Pl,всу́чим
2nd Pl,всу́чите
3rd Pl,всу́чат
Past M,всучи́л
Past F,всучи́ла
Past N,всучи́ло
Past PL,всучи́ли
Imp S,всучи́
Imp PL,всучи́те
