Infinitive,всма́триваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,всма́тривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,всма́тривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,всма́триваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,всма́тривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,всма́триваюсь
2nd Sing,всма́триваешься
3rd Sing,всма́тривается
1st Pl,всма́триваемся
2nd Pl,всма́триваетесь
3rd Pl,всма́триваются
Past M,всма́тривался
Past F,всма́тривалась
Past N,всма́тривалось
Past PL,всма́тривались
Imp S,всма́тривайся
Imp PL,всма́тривайтесь
