Infinitive,ти́снуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ти́снувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ти́снутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ти́снув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ти́снувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ти́сну
2nd Sing,ти́снешь
3rd Sing,ти́снет
1st Pl,ти́снем
2nd Pl,ти́снете
3rd Pl,ти́снут
Past M,ти́снул
Past F,ти́снула
Past N,ти́снуло
Past PL,ти́снули
Imp S,ти́сни
Imp PL,ти́сните
