Infinitive,ти́кать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ти́кающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ти́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ти́кая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ти́кав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ти́кавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ти́каю
2nd Sing,ти́каешь
3rd Sing,ти́кает
1st Pl,ти́каем
2nd Pl,ти́каете
3rd Pl,ти́кают
Past M,ти́кал
Past F,ти́кала
Past N,ти́кало
Past PL,ти́кали
Imp S,ти́кай
Imp PL,ти́кайте
