Infinitive,ста́риться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ста́рящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ста́рившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ста́рясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ста́рившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ста́рюсь
2nd Sing,ста́ришься
3rd Sing,ста́рится
1st Pl,ста́римся
2nd Pl,ста́ритесь
3rd Pl,ста́рятся
Past M,ста́рился
Past F,ста́рилась
Past N,ста́рилось
Past PL,ста́рились
Imp S,ста́рься
Imp PL,ста́рьтесь
