Infinitive,стяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,стяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,стя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,стяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стяну́
2nd Sing,стя́нешь
3rd Sing,стя́нет
1st Pl,стя́нем
2nd Pl,стя́нете
3rd Pl,стя́нут
Past M,стяну́л
Past F,стяну́ла
Past N,стяну́ло
Past PL,стяну́ли
Imp S,стяни́
Imp PL,стяни́те
