Infinitive,стабилизи́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,стабилизи́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стабилизи́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стабилизи́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стабилизи́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,стабилизи́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,стабилизи́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,стабилизи́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,стабилизи́рую
2nd Sing,стабилизи́руешь
3rd Sing,стабилизи́рует
1st Pl,стабилизи́руем
2nd Pl,стабилизи́руете
3rd Pl,стабилизи́руют
Past M,стабилизи́ровал
Past F,стабилизи́ровала
Past N,стабилизи́ровало
Past PL,стабилизи́ровали
Imp S,стабилизи́руй
Imp PL,стабилизи́руйте
