Infinitive,стыди́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стыдя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стыди́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стыдя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стыди́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стыжу́сь
2nd Sing,стыди́шься
3rd Sing,стыди́тся
1st Pl,стыди́мся
2nd Pl,стыди́тесь
3rd Pl,стыдя́тся
Past M,стыди́лся
Past F,стыди́лась
Past N,стыди́лось
Past PL,стыди́лись
Imp S,стыди́сь
Imp PL,стыди́тесь
