Infinitive,ступа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ступа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ступа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ступа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ступа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ступа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ступа́ю
2nd Sing,ступа́ешь
3rd Sing,ступа́ет
1st Pl,ступа́ем
2nd Pl,ступа́ете
3rd Pl,ступа́ют
Past M,ступа́л
Past F,ступа́ла
Past N,ступа́ло
Past PL,ступа́ли
Imp S,ступа́й
Imp PL,ступа́йте
