Infinitive,сты́ть
Zaliznyak Class,15a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сты́нущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сты́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сты́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сты́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сты́ну
2nd Sing,сты́нешь
3rd Sing,сты́нет
1st Pl,сты́нем
2nd Pl,сты́нете
3rd Pl,сты́нут
Past M,сты́л
Past F,сты́ла
Past N,сты́ло
Past PL,сты́ли
Imp S,сты́нь
Imp PL,сты́ньте
