Infinitive,стере́ться
Zaliznyak Class,9*b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стёршийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,стёршись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сотру́сь
2nd Sing,сотрёшься
3rd Sing,сотрётся
1st Pl,сотрёмся
2nd Pl,сотрётесь
3rd Pl,сотру́тся
Past M,стёрся
Past F,стёрлась
Past N,стёрлось
Past PL,стёрлись
Imp S,сотри́сь
Imp PL,сотри́тесь
