Infinitive,стащи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,стащи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ста́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стащи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,стащи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стащу́
2nd Sing,ста́щишь
3rd Sing,ста́щит
1st Pl,ста́щим
2nd Pl,ста́щите
3rd Pl,ста́щат
Past M,стащи́л
Past F,стащи́ла
Past N,стащи́ло
Past PL,стащи́ли
Imp S,стащи́
Imp PL,стащи́те
