Infinitive,стуча́ться
Zaliznyak Class,5b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стуча́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стуча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стуча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стуча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стучу́сь
2nd Sing,стучи́шься
3rd Sing,стучи́тся
1st Pl,стучи́мся
2nd Pl,стучи́тесь
3rd Pl,стуча́тся
Past M,стуча́лся
Past F,стуча́лась
Past N,стуча́лось
Past PL,стуча́лись
Imp S,стучи́сь
Imp PL,стучи́тесь
