Infinitive,стерпе́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,стерпе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,стерпе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,стерпе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,стерплю́
2nd Sing,сте́рпишь
3rd Sing,сте́рпит
1st Pl,сте́рпим
2nd Pl,сте́рпите
3rd Pl,сте́рпят
Past M,стерпе́л
Past F,стерпе́ла
Past N,стерпе́ло
Past PL,стерпе́ли
Imp S,стерпи́
Imp PL,стерпи́те
