Infinitive,стри́чься
Zaliznyak Class,8b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стригу́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стри́гшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стри́гшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,стригу́сь
2nd Sing,стрижёшься
3rd Sing,стрижётся
1st Pl,стрижёмся
2nd Pl,стрижётесь
3rd Pl,стригу́тся
Past M,стри́гся
Past F,стри́глась
Past N,стри́глось
Past PL,стри́глись
Imp S,стриги́сь
Imp PL,стриги́тесь
