Infinitive,струи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,струя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,струи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,струя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,струи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,струю́сь
2nd Sing,струи́шься
3rd Sing,струи́тся
1st Pl,струи́мся
2nd Pl,струи́тесь
3rd Pl,струя́тся
Past M,струи́лся
Past F,струи́лась
Past N,струи́лось
Past PL,струи́лись
Imp S,струи́сь
Imp PL,струи́тесь
