Infinitive,столкну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,столкну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,столкну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,столкну́сь
2nd Sing,столкнёшься
3rd Sing,столкнётся
1st Pl,столкнёмся
2nd Pl,столкнётесь
3rd Pl,столкну́тся
Past M,столкну́лся
Past F,столкну́лась
Past N,столкну́лось
Past PL,столкну́лись
Imp S,столкни́сь
Imp PL,столкни́тесь
