Infinitive,станови́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,становя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,станови́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,становя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,станови́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,становлю́сь
2nd Sing,стано́вишься
3rd Sing,стано́вится
1st Pl,стано́вимся
2nd Pl,стано́витесь
3rd Pl,стано́вятся
Past M,станови́лся
Past F,станови́лась
Past N,станови́лось
Past PL,станови́лись
Imp S,станови́сь
Imp PL,станови́тесь
