Infinitive,станцева́ть
Zaliznyak Class,2a(-о-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,станцева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,станцо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,станцева́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,станцева́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,станцу́ю
2nd Sing,станцу́ешь
3rd Sing,станцу́ет
1st Pl,станцу́ем
2nd Pl,станцу́ете
3rd Pl,станцу́ют
Past M,станцева́л
Past F,станцева́ла
Past N,станцева́ло
Past PL,станцева́ли
Imp S,станцу́й
Imp PL,станцу́йте
