Infinitive,стегну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,стегну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,стёгнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стегну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,стегну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стегну́
2nd Sing,стегнёшь
3rd Sing,стегнёт
1st Pl,стегнём
2nd Pl,стегнёте
3rd Pl,стегну́т
Past M,стегну́л
Past F,стегну́ла
Past N,стегну́ло
Past PL,стегну́ли
Imp S,стегни́
Imp PL,стегни́те
