Infinitive,стара́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,стара́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стара́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стара́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стара́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стара́юсь
2nd Sing,стара́ешься
3rd Sing,стара́ется
1st Pl,стара́емся
2nd Pl,стара́етесь
3rd Pl,стара́ются
Past M,стара́лся
Past F,стара́лась
Past N,стара́лось
Past PL,стара́лись
Imp S,стара́йся
Imp PL,стара́йтесь
